,0,1,2,3,4,5,6,7,8,9
70,48.0,5.33333,37.0,2.83333,58.0,4.125,94.0,18.8167,36.0,25.1667
71,50.0,5.83333,38.0,3.66667,34.0,2.70833,89.0,13.6056,47.0,18.8333
72,57.0,6.5,52.0,3.83333,46.0,2.79167,83.0,11.4611,42.0,15.5
73,47.0,5.66667,47.0,4.66667,58.0,4.70833,100.0,12.2944,50.0,15.8333
74,58.0,7.16667,55.0,4.83333,56.0,3.95833,104.0,12.0167,48.0,15.3333
75,59.0,7.5,64.0,6.66667,62.0,5.04167,103.0,11.8722,54.0,15.6667
76,45.0,5.5,49.0,4.33333,69.0,5.45833,123.0,12.6611,66.0,16.3333
77,39.0,4.5,34.0,3.66667,38.0,3.20833,106.0,9.5,60.0,17.1667
78,48.0,5.33333,51.0,5.16667,55.0,4.20833,108.0,10.6722,50.0,13.1667
79,49.0,6.5,40.0,3.33333,60.0,4.625,100.0,11.3722,51.0,14.8333
80,38.0,3.66667,33.0,2.33333,45.0,3.0,97.0,13.2,46.0,17.6667
81,52.0,5.83333,45.0,3.83333,47.0,3.16667,97.0,18.1111,42.0,24.3333
82,59.0,7.83333,61.0,5.66667,62.0,4.5,79.0,21.6,35.0,30.6667
83,40.0,5.0,47.0,4.33333,60.0,4.95833,87.0,10.0833,32.0,12.3333
84,50.0,6.5,32.0,2.66667,54.0,3.5,97.0,11.2889,39.0,14.6667
85,42.0,5.5,37.0,4.33333,35.0,2.91667,78.0,8.83333,34.0,11.3333
86,48.0,5.0,51.0,4.83333,50.0,4.20833,70.0,23.2722,25.0,32.6667
87,48.0,6.0,43.0,3.5,59.0,4.54167,83.0,18.45,32.0,25.0
88,53.0,6.66667,45.0,3.83333,50.0,3.08333,90.0,23.1889,42.0,33.3333
89,40.0,4.66667,44.0,4.0,44.0,3.16667,89.0,27.5556,42.0,39.3333
90,46.0,5.66667,47.0,4.5,48.0,3.33333,71.0,14.3778,28.0,19.8333
91,51.0,6.66667,34.0,3.66667,44.0,3.70833,71.0,16.5167,28.0,22.6667
92,50.0,6.5,32.0,3.16667,32.0,2.70833,71.0,25.85,37.0,37.3333
93,51.0,5.66667,48.0,4.5,45.0,3.70833,80.0,13.0,33.0,27.3333
94,60.0,7.66667,63.0,5.66667,63.0,4.29167,85.0,17.6167,40.0,24.5
95,51.0,6.33333,52.0,4.5,73.0,5.29167,110.0,19.0833,42.0,25.1667
96,46.0,5.33333,45.0,4.5,54.0,3.91667,107.0,18.8778,55.0,26.5
97,44.0,5.5,54.0,5.5,50.0,4.20833,97.0,13.8125,41.0,27.6667
98,30.0,3.66667,28.0,2.16667,56.0,3.83333,96.0,18.2222,43.0,25.3333
99,46.0,6.83333,26.0,2.16667,31.0,2.54167,78.0,8.87222,40.0,11.8333
100,43.0,5.5,47.0,5.16667,34.0,2.66667,62.0,15.2708,23.0,18.6111
101,56.0,7.66667,55.0,5.5,66.0,5.45833,66.0,11.1944,23.0,14.3333
102,47.0,6.5,40.0,4.0,54.0,4.33333,91.0,19.7333,41.0,27.6667
103,53.0,6.16667,49.0,4.5,43.0,3.25,82.0,17.7444,34.0,23.8333
104,47.0,4.66667,61.0,5.0,62.0,4.45833,79.0,5.9375,36.0,9.16667
105,45.0,6.16667,43.0,3.5,62.0,4.375,91.0,6.67222,41.0,7.83333
106,45.0,4.83333,37.0,2.83333,35.0,1.95833,87.0,17.3278,44.0,24.1667
107,51.0,6.5,50.0,5.83333,47.0,3.83333,71.0,18.0222,26.0,24.8333
108,44.0,4.33333,55.0,4.5,60.0,4.54167,81.0,6.38333,39.0,7.5
109,38.0,4.0,47.0,4.16667,58.0,4.54167,91.0,17.9389,36.0,24.1667
110,23.0,2.5,23.0,1.33333,51.0,3.16667,96.0,8.02222,43.0,10.0
111,49.0,6.33333,30.0,3.16667,22.0,1.58333,79.0,7.1,42.0,9.33333
112,49.0,5.83333,30.0,2.5,27.0,1.91667,52.0,16.3889,20.0,22.6667
113,58.0,8.33333,48.0,4.5,46.0,3.5,63.0,16.8,28.0,23.6667
114,50.0,5.66667,45.0,4.0,49.0,3.375,84.0,18.7389,39.0,26.1667
115,50.0,5.83333,60.0,5.16667,66.0,5.04167,97.0,13.4944,39.0,17.0
116,39.0,4.16667,43.0,4.0,56.0,4.0,99.0,4.82222,47.0,5.5
117,34.0,3.83333,31.0,2.5,39.0,3.20833,95.0,5.16111,47.0,5.66667
118,37.0,4.83333,26.0,2.83333,35.0,2.625,82.0,4.57222,39.0,4.83333
119,40.0,4.5,35.0,2.83333,31.0,2.25,74.0,4.76667,44.0,5.66667
