,0,1,2,3,4,5,6,7,8,9
0,74.44406,2.481469,49.339634,1.6446545,50.258423,1.6752808,86.8173,2.8939102,80.055664,2.6685224
1,61.815487,2.0605164,60.268066,2.0089357,60.883244,2.0294416,81.01089,2.7003632,79.170265,2.639009
2,63.704132,2.1234713,53.858124,1.7952709,55.59681,1.853227,78.39531,2.613177,75.28799,2.5095997
3,66.926674,2.2308893,65.411835,2.1803946,59.054813,1.9684939,77.094215,2.5698073,76.0736,2.5357869
4,65.47135,2.1823785,62.38175,2.0793917,58.212723,1.9404242,76.655396,2.55518,75.43131,2.514377
5,64.61353,2.1537845,62.197678,2.073256,54.85364,1.8284549,77.01762,2.567254,72.76166,2.4253888
6,68.09543,2.2698476,59.588898,1.9862967,58.098076,1.9366026,77.42551,2.5808504,72.83146,2.4277155
7,63.801647,2.1267216,60.114723,2.0038242,54.249428,1.8083143,77.779785,2.5926597,74.95987,2.4986625
8,65.939354,2.1979785,55.948933,1.8649645,45.24224,1.5080748,77.46318,2.582106,72.32363,2.4107878
9,67.739845,2.257995,59.14665,1.971555,48.153893,1.6051298,77.3741,2.5791368,75.193596,2.5064533
10,65.47394,2.1824646,45.067245,1.5022416,52.024525,1.7341509,76.55069,2.5516899,76.0899,2.53633
11,67.62775,2.2542584,61.434494,2.0478165,59.31502,1.9771675,76.413536,2.547118,74.02964,2.4676547
12,65.685295,2.1895099,63.619232,2.1206412,56.311535,1.8770512,76.7123,2.557077,76.076454,2.535882
13,69.87646,2.3292153,54.44434,1.8148115,41.224487,1.3741497,76.28993,2.5429978,76.915016,2.563834
14,61.68184,2.0560615,55.70002,1.8566674,50.461147,1.6820383,72.68607,2.4228692,77.02709,2.56757
15,53.15687,1.7718958,49.632168,1.6544057,50.298946,1.6766317,73.212105,2.4404037,75.26764,2.5089214
16,65.229996,2.1743333,60.955303,2.0318437,46.64442,1.5548141,64.66461,2.155487,68.58759,2.2862532
17,62.131046,2.071035,51.1255,1.7041835,48.34162,1.6113875,63.365673,2.1121893,67.24326,2.2414422
18,63.93986,2.1313288,58.07485,1.9358283,49.923065,1.6641023,59.068653,1.9689552,64.721214,2.157374
19,59.742413,1.9914138,56.648552,1.8882852,45.333897,1.51113,56.929417,1.8976473,59.342056,1.9780686
20,63.08594,2.1028647,57.538452,1.9179485,53.638172,1.7879392,62.05378,2.0684595,61.251637,2.0417213
21,57.40551,1.9135171,53.284378,1.776146,59.40822,1.9802741,69.00178,2.3000593,56.630455,1.887682
22,67.70667,2.256889,57.421017,1.914034,48.69574,1.6231914,70.618706,2.353957,62.014904,2.0671635
23,63.43814,2.1146047,65.59592,2.1865306,57.66838,1.9222795,73.403404,2.4467802,67.22513,2.2408378
24,64.738846,2.1579616,54.70474,1.8234913,44.70467,1.4901557,74.1569,2.4718966,73.14724,2.4382415
25,67.816826,2.260561,67.131004,2.2377002,59.028934,1.9676312,74.54651,2.4848838,73.43103,2.4477012
26,61.25873,2.0419579,62.602657,2.0867553,55.283947,1.8427984,74.4891,2.48297,74.520676,2.4840226
27,63.319157,2.1106386,55.67523,1.855841,48.0232,1.6007735,75.40024,2.5133414,68.617485,2.2872496
28,65.27267,2.1757557,47.433975,1.5811325,49.505062,1.6501688,75.17309,2.5057697,74.78536,2.4928455
29,61.61476,2.0538254,51.278664,1.7092888,54.543514,1.8181173,74.54894,2.4849648,68.248634,2.2749546
30,58.74461,1.9581537,55.4324,1.8477467,46.036903,1.5345635,74.50574,2.4835248,72.07308,2.4024363
31,57.441925,1.9147309,54.277645,1.8092549,47.536552,1.5845518,72.51684,2.417228,66.96303,2.232101
32,56.01538,1.8671795,54.223198,1.80744,48.430847,1.6143616,73.82489,2.4608297,68.4922,2.2830734
33,60.74157,2.024719,39.26303,1.3087678,38.584656,1.2861552,66.03203,2.2010677,68.8526,2.2950869
34,57.957817,1.9319273,49.663677,1.655456,48.67152,1.6223841,69.92194,2.3307316,64.04831,2.1349437
35,56.32938,1.8776461,46.306244,1.5435416,48.551285,1.6183763,58.42865,1.9476218,59.791817,1.9930607
36,48.089767,1.6029923,50.421818,1.6807274,49.015274,1.6338426,56.823147,1.894105,58.00136,1.9333788
37,55.419827,1.8473276,44.105797,1.4701933,28.863747,0.96212494,57.418003,1.9139335,60.884796,2.0294933
38,52.155987,1.738533,47.053757,1.5684587,41.27052,1.375684,65.48761,2.1829205,60.35862,2.011954
39,44.459,1.4819667,38.47969,1.2826564,40.65155,1.3550518,50.004375,1.6668127,51.222603,1.7074202
