,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,6.875572,4.5191483,7.189995,1.3265814,0.80569696,11.272926,-23.421669,2.0349927,8.319828,1.1226649,9.607996,4.7877345,-3.1664195,17.898346,10.391863,7.011895,8.398772,7.302147,7.462291,-8.856891,-1.8087101,-7.63097,10.740903,3.2233114,6.4582267,4.264329,9.037937,3.5418963,7.8977504,4.538952,6.381016,2.9231853,6.211775,3.3898299,4.550459,-2.1377175,-21.186232,2.4862442,15.221964,4.5299516,11.3593445,-0.15389967,0.58876157,5.643545,8.648705,5.868786,6.542938,15.313211,9.81665,-3.4781973,8.250813,-15.862646,5.556871,2.2432745,6.509737,4.965639,5.5545864,2.8092709,6.529027,5.526066,5.593223,4.722166,6.466528,5.725634,-2.09504,14.366906,27.553493,2.9852934,-6.01751,8.363505,6.952668,8.68973,10.952697,24.669199,6.843707,7.3364635,6.8141184,6.260276,4.6118145,-6.968378,7.5224013,-12.809424,6.223048,2.3268948,3.397087,6.4010143,6.43762,4.5240417,7.3748636,3.845222
1,6.9194508,4.566902,7.2208023,1.3344114,0.614573,11.208988,-22.207544,2.0352793,8.578817,1.0268688,9.723619,5.1229925,-3.0493321,17.763773,10.353355,7.0465345,8.436412,7.494587,7.3358765,-9.283018,-1.3928971,-7.6539207,10.945032,3.256195,6.7424574,4.165064,9.052782,3.5526447,7.9899235,4.6101108,6.371991,2.9715843,6.128456,3.4125,4.751942,-2.1638694,-21.95875,2.4770322,15.983161,4.662159,10.891008,0.050470114,0.9666991,5.97943,8.05173,5.8839226,6.375734,15.504886,10.227199,-3.0469787,8.216747,-16.045773,5.307317,2.2062821,6.349456,5.0751286,5.4159765,2.9667284,6.486503,5.5934167,5.6660404,4.8388033,6.397693,5.806398,-1.8424668,14.46797,26.275784,2.9384964,-6.4877334,8.577964,6.881509,8.809028,10.606042,24.699726,6.6640396,7.470036,6.694766,6.282686,4.5490046,-8.1143465,6.8669033,-12.682601,5.969821,2.3523104,3.1379104,6.3798757,6.613489,4.5130014,7.496478,3.9148455
2,6.9511304,4.5880923,7.183462,1.3329468,0.5335491,10.893514,-21.114214,2.0353434,9.019285,0.89064556,9.802702,5.525051,-3.04196,17.500994,10.12834,7.031787,8.488138,7.96887,7.236186,-9.704516,-1.1696262,-7.542206,11.109503,3.259079,7.0199366,4.0586214,9.074822,3.5883486,8.074366,4.638629,6.399066,3.029871,6.0539436,3.4371486,4.78721,-2.1372535,-22.422632,2.4549744,16.729645,4.7322493,10.606194,0.057380676,1.1175592,6.3011045,7.7718315,5.967781,6.302717,15.737697,10.681966,-2.7738917,8.233985,-16.041243,5.0675697,2.1589448,6.360296,5.1831164,5.2676134,3.1228359,6.492463,5.6777534,5.6962323,4.878798,6.320539,5.8637114,-1.5906172,14.594558,25.5843,2.892611,-6.7758064,8.698614,6.702412,8.983358,10.561864,24.788305,6.4104834,7.4988327,6.566738,6.2945437,4.4504576,-9.21731,6.19706,-12.851203,5.760122,2.384437,2.9544487,6.3602996,6.776864,4.504351,7.579192,3.9497173
3,6.944272,4.614703,7.219122,1.3545654,0.4038992,10.888608,-20.656298,2.0546432,9.331996,0.8236271,9.907543,5.73158,-2.8667166,17.629395,10.028437,7.0363584,8.529175,8.050969,7.469775,-9.95697,-0.48176384,-7.734135,11.222495,3.3098752,7.242858,4.0542192,9.07562,3.5783796,8.14353,4.695062,6.4305167,3.0701158,6.029322,3.4591792,5.022852,-2.1905901,-22.97352,2.4530904,17.038794,4.9345803,10.257841,0.113584995,1.2631687,6.4583244,7.492678,5.9915705,6.2106667,15.844941,10.725914,-2.6349003,8.510485,-16.309507,4.957188,2.1324692,6.1830683,5.2150655,5.197091,3.2841594,6.4698544,5.7201834,5.7557173,4.953042,6.321325,5.9046173,-1.5629168,14.61524,25.314087,2.8830364,-6.884517,8.760024,6.7861366,9.046132,10.091069,24.883703,6.320613,7.510649,6.4950676,6.230132,4.4129868,-9.952798,5.9632754,-13.072089,5.6835766,2.4263253,2.8116403,6.389717,6.8911977,4.4982014,7.6363816,3.9492
4,6.9803677,4.6222043,7.23907,1.3680599,0.12295222,10.828162,-20.038052,2.079929,9.34128,0.85988915,9.9912615,6.0004888,-2.6366816,17.709654,10.05198,7.095364,8.56376,8.142051,7.476828,-10.453732,-0.11223078,-7.8723106,11.372704,3.3420792,7.3812246,4.00461,9.043095,3.5668826,8.206232,4.765882,6.442044,3.1001344,6.010083,3.484364,5.269456,-2.1096401,-24.24582,2.4563584,17.638514,5.169467,9.956137,0.21089101,1.4006624,6.564435,7.3894925,6.0700936,6.188756,15.94995,10.694651,-2.2340736,8.686456,-16.667368,4.826646,2.1255884,5.991019,5.282425,5.144909,3.4420009,6.4745593,5.72575,5.8092213,5.0029316,6.3149424,5.960625,-1.523251,14.622268,25.130543,2.8800154,-7.174679,8.818263,6.7048044,9.195881,9.642031,24.896908,6.090272,7.475177,6.442548,6.2151546,4.2476645,-10.266147,5.6937113,-13.406485,5.50618,2.5014296,2.7764883,6.407443,7.054726,4.5473886,7.6734285,3.9623623
5,6.9808416,4.6199603,7.2442994,1.3732915,0.09536147,10.752051,-19.313488,2.0799952,9.621552,0.86854136,9.958214,6.1037135,-2.4946258,17.803314,10.111097,7.1890206,8.6068535,8.348929,7.4810944,-10.765965,-0.23421192,-7.608597,11.471344,3.3546517,7.383417,3.9559054,8.992168,3.5458555,8.300384,4.798258,6.425394,3.1270132,5.9512286,3.5078452,5.433214,-2.1056144,-24.42849,2.4550238,17.998974,5.275442,9.824026,0.22264814,1.5183618,6.5366898,7.218687,6.1372533,6.0730753,16.154861,10.823023,-2.0521455,8.483573,-16.6011,4.8201303,2.1463208,6.009047,5.388279,5.105319,3.5540133,6.485943,5.744931,5.8523283,5.031441,6.30346,6.0201297,-1.397193,14.719269,24.916777,2.871346,-7.226758,8.847386,6.636839,9.307859,9.687678,24.58912,6.0321655,7.5001187,6.3897886,6.194967,4.1673822,-10.737236,5.27389,-13.59268,5.290191,2.5157392,2.5510087,6.426379,7.1120186,4.5730896,7.7445955,3.975473
6,6.984993,4.629328,7.234697,1.3796946,-0.018352985,10.618826,-18.769413,2.086536,9.978624,0.82516456,9.942692,6.1965103,-2.4257097,17.827076,10.249495,7.2833242,8.6569,8.49257,7.535587,-11.067432,-0.07877588,-7.377729,11.6565895,3.3559527,7.489745,3.922791,8.934038,3.5215628,8.378835,4.827697,6.422866,3.1536336,5.921828,3.5238013,5.511973,-2.120366,-24.30527,2.4566345,18.095541,5.3569927,9.761736,0.21242785,1.5874892,6.628246,7.218828,6.2039766,6.0453825,16.309301,10.936701,-2.0284057,8.424834,-16.47984,4.803814,2.1267078,6.0943704,5.4526167,5.035796,3.636281,6.4656487,5.7795963,5.8792152,5.0620546,6.284887,6.0516033,-1.3828614,14.724104,25.041447,2.8605893,-7.298389,8.843191,6.6115737,9.429219,9.732248,24.398365,5.868292,7.469664,6.3335752,6.1366363,4.076715,-11.013195,5.1418977,-13.898266,5.024111,2.5367472,2.4332433,6.44787,7.180773,4.600561,7.781346,3.9904635
7,6.9761853,4.6358414,7.283512,1.3881718,-0.1443932,10.679239,-18.35695,2.1098168,9.895998,0.86758107,9.934608,6.2509017,-2.3252285,17.801575,10.2227545,7.3409677,8.650758,8.57506,7.6214,-11.201151,-0.08765173,-7.184206,11.740274,3.385088,7.517392,3.8899307,8.855375,3.5213213,8.436195,4.8574553,6.431637,3.1678216,5.8671675,3.5528548,5.79338,-2.1225495,-24.772932,2.4725373,18.361927,5.4232125,9.620496,0.35288775,1.6200981,6.6018167,7.357935,6.281531,5.9693394,16.337234,10.970877,-1.8769882,8.442985,-16.54615,4.7480855,2.1313398,5.899429,5.5340643,4.9571533,3.765007,6.434127,5.789542,5.913251,5.1022124,6.280593,6.08898,-1.3422337,14.676807,24.751307,2.8686137,-7.2644978,8.902414,6.5110483,9.563596,9.48299,24.022545,5.7508507,7.45755,6.220186,6.0771856,3.9117057,-11.399792,4.9973555,-14.153064,4.930805,2.565329,2.1933296,6.496866,7.267134,4.644868,7.78784,4.011182
8,6.982877,4.6376786,7.308465,1.3917131,-0.059438705,10.8005905,-18.11421,2.1112628,9.921268,0.9406892,9.910339,6.3128166,-2.4218247,17.734348,10.203653,7.3511114,8.693845,8.492493,7.860834,-11.305095,-0.116737366,-6.9689994,11.722791,3.3813438,7.558447,3.901133,8.758045,3.4844363,8.496014,4.892599,6.4193897,3.1813118,5.8649244,3.5668359,5.8201494,-2.2115965,-25.153881,2.4732647,18.639565,5.5074587,9.423077,0.49222147,1.6967717,6.6450553,7.450558,6.306083,6.024824,16.277632,10.9939995,-1.8750144,8.709796,-16.478203,4.6356134,2.1166492,5.8022895,5.542093,4.9055433,3.7783542,6.4060698,5.781663,5.9239693,5.1163254,6.2970386,6.107048,-1.4365802,14.721705,24.429554,2.8521802,-7.5030236,8.913904,6.570421,9.718785,9.352995,23.973522,5.5931215,7.435938,6.148266,6.0790167,3.7698312,-11.514183,5.3327837,-14.200589,4.763868,2.6030262,2.157863,6.5361233,7.315844,4.6987357,7.7705364,4.0077977
9,6.946291,4.618779,7.3441677,1.3659651,0.078944206,11.069887,-17.469738,2.0931876,9.574228,1.1273868,9.662807,6.2500424,-2.766873,17.675323,10.228863,7.427096,8.731558,8.149865,8.112814,-10.914785,-0.7917509,-6.7782183,11.540586,3.3125587,7.5629296,4.034964,8.707921,3.4292436,8.5943775,4.87992,6.4474535,3.145597,5.9176087,3.587959,5.8481016,-2.443614,-26.109802,2.465648,18.494682,5.5318093,8.877155,0.8338599,1.9099007,6.85596,7.759013,6.370201,6.0765657,16.245989,11.25417,-2.3898163,9.358618,-16.280432,4.3717146,2.096364,5.6566615,5.3898253,4.850739,3.721408,6.4304743,5.7261715,5.9677405,5.1134477,6.3833275,6.0948257,-1.4933028,15.008702,23.245544,2.8482795,-7.7453117,8.908828,6.6346984,10.002264,9.425389,23.806477,5.4456387,7.4134574,6.1082497,6.144705,3.7945848,-11.675677,6.1423044,-14.176602,4.8801193,2.6262352,2.197764,6.642317,7.336636,4.7299843,7.7682576,4.0053306
